cod;nome;período;valor
1500131;"Abel Figueiredo";1996;0
1500206;Acará;1996;0
1500305;Afuá;1996;4.052849153
1500347;"Água Azul do Norte";1996;9.52653139
1500404;Alenquer;1996;7.779225578
1500503;Almeirim;1996;0
1500602;Altamira;1996;16.50123125
1500701;Anajás;1996;0
1500800;Ananindeua;1996;25.20094826
1500859;Anapu;1996;0
1500909;"Augusto Corrêa";1996;0
1500958;"Aurora do Pará";1996;0
1501006;Aveiro;1996;0
1501105;Bagre;1996;9.467007479
1501204;Baião;1996;0
1501253;Bannach;1996;0
1501303;Barcarena;1996;1.843012219
1501402;Belém;1996;18.87597089
1501451;Belterra;1996;0
1501501;Benevides;1996;5.17002934
1501576;"Bom Jesus do Tocantins";1996;17.9243592
1501600;Bonito;1996;0
1501709;Bragança;1996;4.871347707
1501725;"Brasil Novo";1996;0
1501758;"Brejo Grande do Araguaia";1996;0
1501782;"Breu Branco";1996;14.83459427
1501808;Breves;1996;2.660777479
1501907;Bujaru;1996;5.549697541
1501956;"Cachoeira do Piriá";1996;0
1502004;"Cachoeira do Arari";1996;11.63264119
1502103;Cametá;1996;0
1502152;"Canaã dos Carajás";1996;0
1502202;Capanema;1996;16.77164474
1502301;"Capitão Poço";1996;0
1502400;Castanhal;1996;34.0773556
1502509;Chaves;1996;0
1502608;Colares;1996;0
1502707;"Conceição do Araguaia";1996;15.31523866
1502756;"Concórdia do Pará";1996;5.414478315
1502764;"Cumaru do Norte";1996;0
1502772;Curionópolis;1996;8.376963351
1502806;Curralinho;1996;0
1502855;Curuá;1996;0
1502905;Curuçá;1996;8.691117678
1502939;"Dom Eliseu";1996;2.779244601
1502954;"Eldorado dos Carajás";1996;76.11591366
1503002;Faro;1996;0
1503044;"Floresta do Araguaia";1996;0
1503077;"Garrafão do Norte";1996;0
1503093;"Goianésia do Pará";1996;19.15525333
1503101;Gurupá;1996;0
1503200;Igarapé-Açu;1996;3.262536296
1503309;Igarapé-Miri;1996;2.130288441
1503408;Inhangapi;1996;13.67801942
1503457;"Ipixuna do Pará";1996;7.178750897
1503507;Irituia;1996;0
1503606;Itaituba;1996;2.04855065
1503705;Itupiranga;1996;2.647533822
1503754;Jacareacanga;1996;0
1503804;Jacundá;1996;7.589940798
1503903;Juruti;1996;0
1504000;"Limoeiro do Ajuru";1996;0
1504059;"Mãe do Rio";1996;0
1504109;"Magalhães Barata";1996;0
1504208;Marabá;1996;29.98101203
1504307;Maracanã;1996;3.948043744
1504406;Marapanim;1996;0
1504422;Marituba;1996;0
1504455;Medicilândia;1996;0
1504505;Melgaço;1996;6.544502618
1504604;Mocajuba;1996;5.329638118
1504703;Moju;1996;13.23889588
1504752;"Mojuí dos Campos";1996;0
1504802;"Monte Alegre";1996;4.03209548
1504901;Muaná;1996;4.262211235
1504950;"Nova Esperança do Piriá";1996;0
1504976;"Nova Ipixuna";1996;0
1505007;"Nova Timboteua";1996;0
